Año;Mes;Dia; Hora
2020;09;18;18-20-11
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;CH9 ;CH10 ;CH11 ;CH12 ;CH13 ;CH14 ;CH15 ;CH16 ;
-0.09142852817915426;1.5483071381409994;2.4327203396306136;-1.5601033454728102;-1.051762081748154;2.3601030427352288;-0.4803033820860574;-0.7529965344110794;1.0640565829361237;1.042573324205894;1.8767905593633147;-0.6241223217595329;-9.60432344242552;-1.8645489673542701;-1.5676913974423377;-0.8412520590542255;
0.8850200149854237;3.9531902202748554;5.071724183813214;-1.321585906409334;-1.7193542257480723;1.7536580593996143;0.6427123201937025;0.5087785422893842;4.222639423436888;1.2549374127150357;2.1671213633458697;-0.600592158555292;-7.530741779562423;-1.4061652682112744;-1.3876305412716614;-1.198259975489463;
1.6773386987885461;5.460149233338651;6.535658765944011;-0.43087542993553174;-1.5908141777160325;0.664093134567775;1.7147518876257872;1.856657444332161;6.370672287328512;1.3172794213473615;1.914842643338742;-0.21696018654319504;-3.727040050601537;-0.6757995194475628;-0.7287231791433992;-1.06442520404867;
2.141186625296334;5.734395268746968;6.763199776497485;0.9909086652629777;-0.5403856626956485;-0.9202145705086058;2.5534464575680724;3.019069412418845;6.9673680152443325;1.3785453025659906;1.3155493610513713;0.6279268613054845;0.9205121045937137;0.2609943156743608;0.41842924221373523;-0.19583686212120632;
2.1767012330657525;4.746820413279501;5.891828279626791;2.5437416415129497;1.1267624664449412;-2.7386692807017328;2.9493263894712305;3.692586707684592;5.88669135077468;1.4940294567280525;0.60220588495835;1.7780894237446316;5.3560277304712836;1.2594182309784436;1.8114689676585187;1.289731035849286;
1.7527290978123427;2.759207413199949;4.131979761069054;3.6758943553365864;2.792560604211665;-4.27301006572222;2.7260029912128907;3.6239805300537737;3.444131520815306;1.5899914968697277;-0.04235690282587745;2.853840503858108;8.549213082755944;2.1062300181216056;3.006454437694547;2.916086682338156;
0.9273016504969165;0.24088474169724283;1.7047219464588776;3.8853099387503596;3.7764724223531387;-4.906370499008464;1.8241017725791306;2.698368824040012;0.2925480957063842;1.4964185004671697;-0.5280795289285899;3.3891959062506665;9.706932369081716;2.5685523474037453;3.5158353523341113;4.014892447665229;
-0.1459038530264709;-2.25172328331341;-1.1350750433509842;2.92384736761385;3.6127236618503997;-4.173512589113566;0.3715915238752603;1.0090750810569689;-2.773266520857184;1.0378130143427882;-0.8445274211555449;3.0226338281623906;8.465093608207873;2.468608862386281;3.0150957987826708;3.995261483584931;
-1.2353700022519427;-4.198941210448659;-4.032195585650745;0.9282008195404368;2.24268671117274;-2.0038319444453303;-1.303195214463118;-1.1183605441124298;-5.0354332853805595;0.14254351122677078;-1.01407711090803;1.6673662218015317;5.007438809487583;1.7569965902988292;1.5085187321794784;2.6121242383137693;
-2.079116181840413;-5.2190288867792685;-6.495072074245686;-1.5797747507541882;0.04910150232945054;1.1533189494106608;-2.742195091514165;-3.171711028102869;-6.029001839799386;-1.0804097649864786;-1.0498626341005792;-0.4096046837015521;0.07690376554489564;0.5551441048182957;-0.6256729387308835;0.12085287222019758;
